entity_a,entity_b,relation,hole_prediction,features,logistic_regression_prediction,"logistic_regression_rel0_prob,rel1_prob,rel2_prob,rel3_prob",random_forest_prediction,"random_forest_rel0_prob,rel1_prob,rel2_prob,rel3_prob",gradient_boosting_prediction,"gradient_boosting_rel0_prob,rel1_prob,rel2_prob,rel3_prob",xgboost_prediction,"xgboost_rel0_prob,rel1_prob,rel2_prob,rel3_prob"
255,200,0,[[0]],"[0.12706869840621948, 0.03666218742728233, -0.0812513530254364, -0.005886291153728962, 0.038791436702013016, 0.09717672318220139, -0.01940213516354561, 0.012179490178823471, -0.03590620309114456, 0.00865995790809393, 0.07959219813346863, 0.009152432903647423, -0.10075652599334717, 0.15513761341571808, 0.03185557946562767, 0.12960757315158844, 0.08884453028440475, 0.11251704394817352, 0.18140630424022675, -0.21417902410030365, -0.1596035212278366, 0.15454533696174622, -0.006711791269481182, -0.13448207080364227, 0.16543613374233246, 0.05062073841691017, -0.1877966821193695, 0.11100327968597412, -0.11238658428192139, 0.21299099922180176]",0,"[0.8511052378394588, 0.06189769124939096, 0.0485243717123808, 0.03847269919876946]",0,"[1.0, 0.0, 0.0, 0.0]",0,"[0.9979162881546063, 0.001069202650308637, 0.00032523616510318195, 0.0006892730299821003]",0,"[0.9964383840560913, 0.001382986782118678, 0.0011314100120216608, 0.0010472557041794062]"
13,313,3,[[3]],"[0.010305691510438919, 0.055219616740942, 0.0338825024664402, 0.0012298536021262407, 0.009336421266198158, 0.12732456624507904, -0.13783301413059235, -0.027360742911696434, -0.01310795173048973, 0.04253862053155899, 0.04696602001786232, -0.12313385307788849, 0.20246878266334534, 0.08613328635692596, -0.08007674664258957, -0.013104651123285294, -0.04847316816449165, -0.13707490265369415, 0.07306263595819473, 0.10003864765167236, -0.10287883877754211, 0.1350967288017273, 0.013291353359818459, -0.15353593230247498, 0.017905423417687416, 0.06317826360464096, 0.12105760723352432, 0.13245481252670288, 0.0398910716176033, -0.08904219418764114]",3,"[0.09394577608115494, 0.121974979554281, 0.06402773582864063, 0.7200515085359234]",3,"[0.015, 0.077, 0.072, 0.836]",3,"[0.001014665381209592, 0.00460797785117828, 0.001547271479476702, 0.9928300852881353]",3,"[0.006659007165580988, 0.0067289480939507484, 0.004110946785658598, 0.9825010895729065]"
322,300,0,[[0]],"[-0.01652206853032112, -0.12097186595201492, -0.16644801199436188, -0.13704654574394226, 0.12172847986221313, 0.005598046816885471, 0.028305917978286743, 0.0036777695640921593, 0.03247038647532463, 0.04715845733880997, 0.0417129322886467, 0.1354088932275772, -0.10726920515298843, -0.07476945966482162, -0.0010818862356245518, 0.09743394702672958, 0.07571478933095932, 0.10391977429389954, 0.13125351071357727, -0.165028378367424, -0.17945939302444458, 0.15365304052829742, 0.0677412748336792, -0.16952887177467346, 0.0861729308962822, 0.08085040748119354, -0.10879497975111008, 0.1462966948747635, -0.20083482563495636, 0.22648581862449646]",0,"[0.8686576336211559, 0.033742392401466904, 0.05820945343117741, 0.03939052054619986]",0,"[1.0, 0.0, 0.0, 0.0]",0,"[0.9978625940165315, 0.0010691451205183961, 0.0003790249201685431, 0.0006892359427818181]",0,"[0.995478093624115, 0.0015188442775979638, 0.0019361322047188878, 0.0010669917101040483]"
164,364,3,[[3]],"[-0.07058895379304886, -0.0625571683049202, 0.12406469881534576, -0.08748894929885864, -0.05384020879864693, 0.14476045966148376, -0.01039292011409998, 0.01451084017753601, 0.09870739281177521, -0.12518362700939178, -0.06368324160575867, 0.017474785447120667, 0.06358417868614197, 0.058042895048856735, -0.06135901063680649, 0.02064792439341545, -0.1511961966753006, -0.027585351839661598, -0.24728187918663025, 0.16319574415683746, 0.051676686853170395, 0.04076242446899414, 0.0730680450797081, -0.16404157876968384, -0.08721962571144104, -0.14864714443683624, 0.1608630120754242, -0.020988384261727333, 0.05487852543592453, -0.1439974009990692]",3,"[0.01155856204782201, 0.1228850984414082, 0.0839767511435818, 0.781579588367188]",3,"[0.0, 0.023, 0.032, 0.945]",3,"[0.00037779435154343725, 0.002026079562332665, 0.0017097136296065592, 0.9958864124565174]",3,"[0.0012741859536617994, 0.0018996617291122675, 0.0034147880505770445, 0.9934113621711731]"
35,335,3,[[3]],"[0.08036293834447861, -0.0469207838177681, 0.0742265060544014, 0.03668670356273651, 0.0277797132730484, -0.003383827628567815, 0.03939596191048622, 0.08906321972608566, 0.12066016346216202, 0.07544727623462677, -0.04422825947403908, 0.10269052535295486, 0.04464851692318916, 0.18007710576057434, -0.024821270257234573, 0.07759363204240799, -0.1226453110575676, -0.13385441899299622, -0.0621735081076622, 0.17747806012630463, -0.20458248257637024, 0.11456234753131866, 0.0010442027123644948, -0.026122258976101875, 0.025296326726675034, -0.24496038258075714, -0.021932462230324745, -0.03524620458483696, -0.10214152187108994, -0.10059844702482224]",3,"[0.04788058968992457, 0.07137836044646363, 0.05440876602198914, 0.8263322838416227]",3,"[0.0, 0.007, 0.004, 0.989]",3,"[0.0006321799657732978, 0.00269155366697757, 0.000966543797680899, 0.995709722569568]",3,"[0.0008702018531039357, 0.0017442195676267147, 0.0010961499065160751, 0.9962894916534424]"
32,0,0,[[0]],"[0.09123128652572632, -0.023411935195326805, -0.0008008835720829666, -0.03482060134410858, -0.07596393674612045, 0.16254399716854095, -0.05533021315932274, 0.17409153282642365, 0.06178886070847511, -0.08708435297012329, -0.030664989724755287, -0.05347713455557823, 0.037310339510440826, 0.12720830738544464, 0.044699061661958694, 0.192287877202034, 0.06034895032644272, 0.1790749728679657, 0.25158628821372986, -0.23091255128383636, -0.08519286662340164, 0.1509428769350052, 0.0022816623095422983, -0.19233748316764832, 0.053808581084012985, 0.0641859620809555, -0.15298694372177124, 0.18014012277126312, -0.07506848871707916, 0.24167294800281525]",0,"[0.8673598063072542, 0.058116931920375633, 0.03711004248173583, 0.03741321929063449]",0,"[1.0, 0.0, 0.0, 0.0]",0,"[0.9978743622405999, 0.001111171187354087, 0.00032522250080723673, 0.0006892440712386416]",0,"[0.9953199028968811, 0.0018552447436377406, 0.0011486380826681852, 0.0016761674778535962]"
40,340,3,[[3]],"[-0.08597997575998306, 0.03853999823331833, -0.05540971830487251, 0.06564724445343018, -0.03546564653515816, 0.012792326509952545, -0.02529212273657322, -0.052046049386262894, -0.0406738817691803, -0.0008979448466561735, -0.11990005522966385, -0.16570089757442474, -0.08241239935159683, 0.19747598469257355, -0.0567658357322216, -0.13386447727680206, -0.07413890212774277, 0.08918685466051102, -0.08607673645019531, 0.12234926223754883, 0.043118592351675034, 0.04578603059053421, -0.2217581421136856, -0.07932358980178833, 0.00222265487536788, -0.2458428293466568, -0.06610722839832306, -0.07551148533821106, -0.05835304036736488, -0.12381457537412643]",3,"[0.028623727944637176, 0.15395813214313483, 0.07344716886345723, 0.7439709710487706]",3,"[0.0, 0.059, 0.004, 0.937]",3,"[0.00041328547455591095, 0.0034616890963094765, 0.000538056909293846, 0.9955869685198404]",3,"[0.00115007848944515, 0.008210607804358006, 0.0012926057679578662, 0.9893466830253601]"
4,0,0,[[0]],"[-0.08517709374427795, -0.010624917224049568, 0.10106011480093002, -0.03438590466976166, 0.02751254290342331, 0.11163422465324402, -0.08556155860424042, -0.08081410825252533, -0.021504348143935204, -0.05289548635482788, 0.09881795197725296, -0.013022903352975845, 0.051119375973939896, -0.05713643133640289, 0.0569235235452652, 0.192287877202034, 0.06034895032644272, 0.1790749728679657, 0.25158628821372986, -0.23091255128383636, -0.08519286662340164, 0.1509428769350052, 0.0022816623095422983, -0.19233748316764832, 0.053808581084012985, 0.0641859620809555, -0.15298694372177124, 0.18014012277126312, -0.07506848871707916, 0.24167294800281525]",0,"[0.8766831884858357, 0.04391290637728188, 0.05305378257947514, 0.026350122557407214]",0,"[1.0, 0.0, 0.0, 0.0]",0,"[0.9978698088141689, 0.0010691528507066363, 0.00037179740899354454, 0.0006892409261311109]",0,"[0.9959579110145569, 0.0014454572228714824, 0.0013709167251363397, 0.0012256631162017584]"
244,200,0,[[0]],"[-0.08355045318603516, 0.03419933095574379, -0.05063847452402115, -0.07115369290113449, 0.08638178557157516, 0.16545625030994415, -0.11505686491727829, 0.05515345185995102, 0.006154731847345829, 0.07064115256071091, 0.08908680081367493, -0.028233705088496208, 0.11709893494844437, -0.059005580842494965, 0.17338725924491882, 0.12960757315158844, 0.08884453028440475, 0.11251704394817352, 0.18140630424022675, -0.21417902410030365, -0.1596035212278366, 0.15454533696174622, -0.006711791269481182, -0.13448207080364227, 0.16543613374233246, 0.05062073841691017, -0.1877966821193695, 0.11100327968597412, -0.11238658428192139, 0.21299099922180176]",0,"[0.8517810917900855, 0.03952935213604598, 0.06832583189053663, 0.040363724183332]",0,"[1.0, 0.0, 0.0, 0.0]",0,"[0.9978698088141689, 0.0010691528507066363, 0.00037179740899354454, 0.0006892409261311109]",0,"[0.9954614043235779, 0.0013987025013193488, 0.0016962395748123527, 0.0014436569763347507]"
110,210,2,[[2]],"[-0.042143046855926514, 0.09302656352519989, 0.023077847436070442, -0.21737778186798096, 0.07103126496076584, -0.03568658232688904, 0.030706172809004784, 0.102261483669281, 0.00932176411151886, -0.10068187117576599, 0.046565648168325424, -0.08345134556293488, 0.004242273513227701, -0.038885727524757385, 0.10261561721563339, -0.032817501574754715, 0.22824802994728088, 0.005248125176876783, -0.0021144282072782516, 0.041418734937906265, 0.08374040573835373, -0.14630508422851562, 0.11982907354831696, 0.16433562338352203, 0.016314078122377396, 0.1288568675518036, -0.09829490631818771, 0.06751514226198196, -0.042042627930641174, -0.16699206829071045]",2,"[0.052759266485547046, 0.11781015540780085, 0.7487169356917868, 0.08071364241486531]",2,"[0.001, 0.041, 0.95, 0.008]",2,"[0.0002414454243880603, 0.002079378050119726, 0.9967948542225071, 0.0008843223029853217]",2,"[0.0007763158646412194, 0.0028586217667907476, 0.9946883916854858, 0.0016767334891483188]"
29,329,3,[[3]],"[0.037778083235025406, 0.02880568616092205, 0.018136972561478615, 0.1276496946811676, -0.07859098166227341, 0.05522937700152397, -0.008275077678263187, 0.19764703512191772, -0.11518178135156631, 0.14951303601264954, 0.05830846726894379, -0.05077517405152321, 0.17594823241233826, 0.1112385168671608, 0.07456927746534348, 0.0005294432048685849, 0.052388109266757965, -0.16126908361911774, 0.013060557655990124, 0.10692306607961655, -0.13202284276485443, 0.07722900807857513, -0.030176470056176186, -0.040451232343912125, 0.07748498767614365, 0.010504025034606457, 0.1451154351234436, 0.08367139846086502, -0.13306280970573425, -0.00828038901090622]",3,"[0.06034786745660623, 0.1548805503728435, 0.07422347665653392, 0.7105481055140164]",3,"[0.0, 0.079, 0.021, 0.9]",3,"[0.00048354582305804353, 0.007922680000002425, 0.0006295289505060073, 0.9909642452264334]",3,"[0.002009796444326639, 0.01634839177131653, 0.002144767437130213, 0.9794970750808716]"
