entity_a,entity_b,relation,hole_prediction,features,logistic_regression_prediction,"logistic_regression_rel0_prob,rel1_prob,rel2_prob,rel3_prob",random_forest_prediction,"random_forest_rel0_prob,rel1_prob,rel2_prob,rel3_prob",gradient_boosting_prediction,"gradient_boosting_rel0_prob,rel1_prob,rel2_prob,rel3_prob",xgboost_prediction,"xgboost_rel0_prob,rel1_prob,rel2_prob,rel3_prob"
138,338,3,[[3]],"[0.007961327210068703, 0.051777247339487076, 0.12214319407939911, -0.13686920702457428, -0.17496952414512634, -0.05082552880048752, 0.13920672237873077, 0.0876864567399025, 0.018590159714221954, 0.18156073987483978, -0.0007493261946365237, -0.0030555182602256536, -0.10734143108129501, -0.11502812802791595, 0.1062290146946907, 0.13921180367469788, 0.07470697909593582, 0.007216049358248711, -0.07486728578805923, 0.08260234445333481, 0.04886007681488991, 0.1854623407125473, -0.1732354760169983, 0.06477987766265869, 0.0195681843906641, -0.0579322874546051, 0.0953170657157898, 0.07040619850158691, 0.0031907015945762396, -0.07694803178310394]",3,"[0.053990148435821256, 0.08225705255170065, 0.2994153713646665, 0.5643374276478116]",3,"[0.002, 0.097, 0.194, 0.707]",3,"[0.0008003368322434481, 0.00375091538184264, 0.009451266979033252, 0.9859974808068805]",3,"[0.006570395547896624, 0.009935032576322556, 0.0757763609290123, 0.9077182412147522]"
252,200,0,[[0]],"[0.028669804334640503, -0.08740803599357605, 0.11570907384157181, 0.023063719272613525, -0.03739617019891739, 0.17106860876083374, -0.058211080729961395, -0.13688041269779205, 0.24334107339382172, 0.05514978617429733, -0.07048288732767105, -0.2076612412929535, 0.014414473436772823, 0.11679667979478836, -0.014781898818910122, 0.12960757315158844, 0.08884453028440475, 0.11251704394817352, 0.18140630424022675, -0.21417902410030365, -0.1596035212278366, 0.15454533696174622, -0.006711791269481182, -0.13448207080364227, 0.16543613374233246, 0.05062073841691017, -0.1877966821193695, 0.11100327968597412, -0.11238658428192139, 0.21299099922180176]",0,"[0.837216304519337, 0.07061111877771993, 0.03775233534770396, 0.05442024135523916]",0,"[0.99, 0.0, 0.009, 0.001]",0,"[0.9965955161964449, 0.0021384770742947923, 0.00028436440921127115, 0.000981642320049396]",0,"[0.9946017265319824, 0.002611611969769001, 0.0010473435977473855, 0.0017393461894243956]"
207,200,0,[[0]],"[-0.04634813964366913, 0.13016659021377563, 0.03560076281428337, -0.11356894671916962, 0.06022799387574196, 0.1014169231057167, 0.061810918152332306, -0.16768333315849304, 0.2754198908805847, 0.1716414839029312, -0.06220758706331253, 0.03798498213291168, -0.24986526370048523, 0.05830348655581474, -0.0026733644772320986, 0.12960757315158844, 0.08884453028440475, 0.11251704394817352, 0.18140630424022675, -0.21417902410030365, -0.1596035212278366, 0.15454533696174622, -0.006711791269481182, -0.13448207080364227, 0.16543613374233246, 0.05062073841691017, -0.1877966821193695, 0.11100327968597412, -0.11238658428192139, 0.21299099922180176]",0,"[0.8656829645416624, 0.02441181041627425, 0.06637541410953629, 0.04352981093252718]",0,"[0.988, 0.0, 0.011, 0.001]",0,"[0.9974811315973506, 0.0011107333100247386, 0.00031845212230739093, 0.0010896829703171294]",0,"[0.9949906468391418, 0.001496490091085434, 0.0018327897414565086, 0.001680118264630437]"
381,300,0,[[0]],"[0.05929361283779144, 0.14820025861263275, -0.03246959298849106, 0.0940561294555664, 0.09975536912679672, -0.15657733380794525, 0.019989479333162308, -0.09215182811021805, -0.06430265307426453, 0.10166043788194656, 0.013003611005842686, -0.03260897099971771, -0.23078760504722595, 0.03931223601102829, -0.007703876588493586, 0.09743394702672958, 0.07571478933095932, 0.10391977429389954, 0.13125351071357727, -0.165028378367424, -0.17945939302444458, 0.15365304052829742, 0.0677412748336792, -0.16952887177467346, 0.0861729308962822, 0.08085040748119354, -0.10879497975111008, 0.1462966948747635, -0.20083482563495636, 0.22648581862449646]",0,"[0.8423829472709544, 0.06766441299383202, 0.030034375029685596, 0.05991826470552817]",0,"[0.999, 0.001, 0.0, 0.0]",0,"[0.9978358896508662, 0.0011569033879789158, 0.00031798946340661703, 0.0006892174977486481]",0,"[0.9953685998916626, 0.002306050155311823, 0.0011871191672980785, 0.001138203893788159]"
173,100,0,[[0]],"[0.10511111468076706, 0.05109986290335655, -0.003792603500187397, -0.1124611496925354, 0.003939772490411997, 0.050250034779310226, 0.08112984150648117, 0.03985307738184929, -0.026226341724395752, 0.0696621909737587, 0.12442100048065186, -0.12706737220287323, 0.08259706944227219, -0.02091624215245247, 0.05991121381521225, 0.17623573541641235, 0.06283372640609741, 0.1114208996295929, 0.17048342525959015, -0.2732074558734894, -0.1609894186258316, 0.15801505744457245, -0.011756641790270805, -0.12313476204872131, 0.1391882449388504, 0.052922189235687256, -0.18239209055900574, 0.16599838435649872, -0.12458008527755737, 0.0941801443696022]",0,"[0.8308054027599864, 0.037492545314786636, 0.08961641626158896, 0.0420856356636381]",0,"[1.0, 0.0, 0.0, 0.0]",0,"[0.9980927167872737, 0.0008992409465974867, 0.00031864737472423734, 0.0006893948914044037]",0,"[0.9947852492332458, 0.0013369827065616846, 0.002362943487241864, 0.0015148776583373547]"
12,0,0,[[0]],"[0.5108550786972046, 0.640407383441925, -0.22287045419216156, 0.25082582235336304, 0.6163539886474609, -0.33090195059776306, 0.10052017867565155, 0.04497518390417099, 0.5591053366661072, 0.6340060830116272, -0.008613839745521545, -0.5104169249534607, 0.6104987263679504, -0.49529770016670227, -0.19843842089176178, 0.192287877202034, 0.06034895032644272, 0.1790749728679657, 0.25158628821372986, -0.23091255128383636, -0.08519286662340164, 0.1509428769350052, 0.0022816623095422983, -0.19233748316764832, 0.053808581084012985, 0.0641859620809555, -0.15298694372177124, 0.18014012277126312, -0.07506848871707916, 0.24167294800281525]",0,"[0.8539929337742327, 0.026931803244530834, 0.05358265532857215, 0.06549260765266443]",0,"[0.982, 0.004, 0.011, 0.003]",0,"[0.992264596374991, 0.006427226776432499, 0.000394207573323151, 0.0009139692752533333]",0,"[0.9881919026374817, 0.005362199619412422, 0.0037193719763308764, 0.002726517152041197]"
3,0,0,[[0]],"[-0.6536133885383606, 0.6513861417770386, 0.05825435742735863, 0.030455900356173515, 0.5522940158843994, -0.3373417556285858, 0.010495249181985855, -0.5804177522659302, -0.0664781928062439, -0.6301408410072327, -0.5784288048744202, -0.38533496856689453, 0.5325350761413574, -0.3646754026412964, -0.5028794407844543, 0.192287877202034, 0.06034895032644272, 0.1790749728679657, 0.25158628821372986, -0.23091255128383636, -0.08519286662340164, 0.1509428769350052, 0.0022816623095422983, -0.19233748316764832, 0.053808581084012985, 0.0641859620809555, -0.15298694372177124, 0.18014012277126312, -0.07506848871707916, 0.24167294800281525]",0,"[0.7377476040535775, 0.21214314581731908, 0.048475150596806384, 0.0016340995322968184]",0,"[0.988, 0.007, 0.004, 0.001]",0,"[0.9951191924471929, 0.003943966139295417, 0.0003350806500209601, 0.0006017607634910328]",0,"[0.9909133911132812, 0.005405192729085684, 0.0021436524111777544, 0.0015378090320155025]"
141,100,0,[[0]],"[0.12529557943344116, -0.16011935472488403, 0.03481999412178993, -0.12506625056266785, 0.0977759137749672, -0.07967384904623032, 0.05307852104306221, 0.13208788633346558, 0.07376884669065475, -0.0026024316903203726, 0.034895360469818115, -0.027875633910298347, -0.03834634646773338, 0.025399131700396538, 0.16511233150959015, 0.17623573541641235, 0.06283372640609741, 0.1114208996295929, 0.17048342525959015, -0.2732074558734894, -0.1609894186258316, 0.15801505744457245, -0.011756641790270805, -0.12313476204872131, 0.1391882449388504, 0.052922189235687256, -0.18239209055900574, 0.16599838435649872, -0.12458008527755737, 0.0941801443696022]",0,"[0.8334969651100412, 0.03254845385377662, 0.10406044384759697, 0.02989413718858495]",0,"[1.0, 0.0, 0.0, 0.0]",0,"[0.9980574489959566, 0.0009345443572749018, 0.0003186361152601346, 0.0006893705315080165]",0,"[0.9949988126754761, 0.0014545684680342674, 0.0022902535274624825, 0.0012564072385430336]"
155,255,2,[[2]],"[0.05654112994670868, -0.0023325656075030565, -0.10436953604221344, -0.07885395735502243, -0.035564716905355453, 0.0962376818060875, -0.12150794267654419, -0.14341536164283752, -0.050556477159261703, 0.006485155317932367, 0.009323930367827415, -0.12512639164924622, 0.11354690790176392, 0.0977921336889267, 0.009810484945774078, 0.12706869840621948, 0.03666218742728233, -0.0812513530254364, -0.005886291153728962, 0.038791436702013016, 0.09717672318220139, -0.01940213516354561, 0.012179490178823471, -0.03590620309114456, 0.00865995790809393, 0.07959219813346863, 0.009152432903647423, -0.10075652599334717, 0.15513761341571808, 0.03185557946562767]",2,"[0.06777507863303679, 0.22208265642848332, 0.4271844973473484, 0.28295776759113134]",2,"[0.001, 0.228, 0.431, 0.34]",2,"[0.003919218345070319, 0.022319764228484553, 0.9129448113641887, 0.060816206062256434]",2,"[0.018456418067216873, 0.11508582532405853, 0.4442807137966156, 0.4221770167350769]"
66,0,0,[[0]],"[0.03659021481871605, 0.09465795010328293, 0.05967068672180176, 0.14627568423748016, -0.03520958870649338, 0.02835024520754814, -0.1330605149269104, -0.01966976746916771, 0.09043107181787491, -0.0792602002620697, -0.02425512671470642, -0.09852822124958038, -0.10597377270460129, 0.0702613815665245, 0.018619591370224953, 0.192287877202034, 0.06034895032644272, 0.1790749728679657, 0.25158628821372986, -0.23091255128383636, -0.08519286662340164, 0.1509428769350052, 0.0022816623095422983, -0.19233748316764832, 0.053808581084012985, 0.0641859620809555, -0.15298694372177124, 0.18014012277126312, -0.07506848871707916, 0.24167294800281525]",0,"[0.8630654048473152, 0.07060175255243749, 0.026058272589086988, 0.04027457001116029]",0,"[1.0, 0.0, 0.0, 0.0]",0,"[0.9973093847869677, 0.0016767230126331874, 0.0003250383660230169, 0.0006888538343761314]",0,"[0.9944908618927002, 0.002833255333825946, 0.0010011792182922363, 0.0016747377812862396]"
57,157,1,[[1]],"[0.7057147026062012, 0.7201805710792542, 0.11011569947004318, 0.45682236552238464, 0.5617344975471497, -0.5696582198143005, 0.037937622517347336, 0.5518652200698853, -0.05637127533555031, 0.437822550535202, -0.2897072732448578, -0.5622349381446838, 0.34706294536590576, -0.4363357424736023, -0.6581698656082153, -0.12499797344207764, -0.09568063169717789, 0.023250415921211243, 0.05137952044606209, -0.025881148874759674, -0.0004647322930395603, 0.03689868375658989, 0.16625818610191345, -0.07502669095993042, 0.06081574037671089, -0.038088273257017136, -0.22847765684127808, 8.193765097530559e-06, -0.04248383268713951, 0.06241976469755173]",1,"[0.1736756570279787, 0.5534241477482297, 0.04755004157220365, 0.22535015365158795]",1,"[0.037, 0.375, 0.27, 0.318]",1,"[0.010331594250425138, 0.6098643702299269, 0.3035335356771339, 0.07627049984251419]",1,"[0.050296902656555176, 0.58665931224823, 0.12727612257003784, 0.23576763272285461]"
247,200,0,[[0]],"[-0.13014322519302368, 0.03490853309631348, -0.13511089980602264, 0.14646132290363312, -0.045252252370119095, -0.05651303380727768, 0.05581563711166382, -0.003872793400660157, 0.05834976211190224, -0.018851716071367264, 0.0738670602440834, -0.10748513042926788, -0.1706465482711792, 0.06210988387465477, -0.12408333271741867, 0.12960757315158844, 0.08884453028440475, 0.11251704394817352, 0.18140630424022675, -0.21417902410030365, -0.1596035212278366, 0.15454533696174622, -0.006711791269481182, -0.13448207080364227, 0.16543613374233246, 0.05062073841691017, -0.1877966821193695, 0.11100327968597412, -0.11238658428192139, 0.21299099922180176]",0,"[0.8576657099878723, 0.06524246530985787, 0.037242362217242544, 0.0398494624850273]",0,"[1.0, 0.0, 0.0, 0.0]",0,"[0.9968315848856353, 0.0021622218897977222, 0.0003176694124476319, 0.0006885238121191287]",0,"[0.9939905405044556, 0.002958598779514432, 0.0015492498641833663, 0.0015015858225524426]"
232,200,0,[[0]],"[0.11044222861528397, -0.1584947109222412, 0.02337580733001232, -0.022129621356725693, -0.24026130139827728, 0.08662420511245728, -0.05070618912577629, -0.16580656170845032, -0.006354828830808401, -0.07767501473426819, -0.08562091737985611, 0.037165191024541855, 0.011495042592287064, 0.11324900388717651, -0.018033096566796303, 0.12960757315158844, 0.08884453028440475, 0.11251704394817352, 0.18140630424022675, -0.21417902410030365, -0.1596035212278366, 0.15454533696174622, -0.006711791269481182, -0.13448207080364227, 0.16543613374233246, 0.05062073841691017, -0.1877966821193695, 0.11100327968597412, -0.11238658428192139, 0.21299099922180176]",0,"[0.8326495794127721, 0.0719737447653247, 0.0639465767239358, 0.03143009909796756]",0,"[0.995, 0.002, 0.003, 0.0]",0,"[0.9979162881546063, 0.001069202650308637, 0.00032523616510318195, 0.0006892730299821003]",0,"[0.9946809411048889, 0.0024089075159281492, 0.001357988570816815, 0.0015521915629506111]"
160,100,0,[[0]],"[0.015604082494974136, 0.004940822254866362, -0.008312077261507511, -0.08679123967885971, -0.03047819808125496, 0.13454057276248932, -0.08336710929870605, 0.07768760621547699, -0.010064302012324333, -0.1629256159067154, 0.013139918446540833, -0.05299371853470802, 0.13854491710662842, 0.006096033379435539, 0.1810847371816635, 0.17623573541641235, 0.06283372640609741, 0.1114208996295929, 0.17048342525959015, -0.2732074558734894, -0.1609894186258316, 0.15801505744457245, -0.011756641790270805, -0.12313476204872131, 0.1391882449388504, 0.052922189235687256, -0.18239209055900574, 0.16599838435649872, -0.12458008527755737, 0.0941801443696022]",0,"[0.8332935808728659, 0.05066038940675184, 0.07951794996424344, 0.0365280797561389]",0,"[1.0, 0.0, 0.0, 0.0]",0,"[0.9980854952019481, 0.0008992344402428016, 0.0003258804544422686, 0.0006893899033667714]",0,"[0.9956803321838379, 0.0013605805579572916, 0.0017392343143001199, 0.0012198805343359709]"
227,200,0,[[0]],"[-0.061773110181093216, -0.09369131922721863, -0.022388139739632607, 0.07176150381565094, -0.11578532308340073, -0.14651311933994293, -0.030323414131999016, 0.10143431276082993, 0.2594826817512512, 0.17944638431072235, 0.08301437646150589, 0.007831940427422523, 0.019636884331703186, -0.014434599317610264, -0.1028967872262001, 0.12960757315158844, 0.08884453028440475, 0.11251704394817352, 0.18140630424022675, -0.21417902410030365, -0.1596035212278366, 0.15454533696174622, -0.006711791269481182, -0.13448207080364227, 0.16543613374233246, 0.05062073841691017, -0.1877966821193695, 0.11100327968597412, -0.11238658428192139, 0.21299099922180176]",0,"[0.8579605945796246, 0.03216687030458466, 0.04938573844160766, 0.060486796674183156]",0,"[0.989, 0.0, 0.01, 0.001]",0,"[0.9965985629614786, 0.0020243421159153686, 0.0003248066983297062, 0.001052288224276395]",0,"[0.9937804341316223, 0.002838062820956111, 0.001440273830667138, 0.0019412004621699452]"
51,0,0,[[0]],"[0.16963313519954681, 0.1142064705491066, 0.13854941725730896, -0.04229903593659401, 0.02130788378417492, -0.0538918599486351, -0.1624370515346527, -0.06913686543703079, -0.09876801073551178, -0.03612014278769493, 0.082766093313694, -0.08769258111715317, -0.09844516217708588, 0.01208752952516079, -0.2070130854845047, 0.192287877202034, 0.06034895032644272, 0.1790749728679657, 0.25158628821372986, -0.23091255128383636, -0.08519286662340164, 0.1509428769350052, 0.0022816623095422983, -0.19233748316764832, 0.053808581084012985, 0.0641859620809555, -0.15298694372177124, 0.18014012277126312, -0.07506848871707916, 0.24167294800281525]",0,"[0.8631612837583379, 0.07981257987823467, 0.03008302886392902, 0.026943107499498267]",0,"[1.0, 0.0, 0.0, 0.0]",0,"[0.9974127633071942, 0.0015732393949544807, 0.00032507205866224057, 0.0006889252391890582]",0,"[0.994556188583374, 0.0030044293962419033, 0.0011177526321262121, 0.0013216899242252111]"
297,397,3,[[3]],"[-0.022741267457604408, 0.07696283608675003, -0.010833189822733402, 0.07337047904729843, 0.036927033215761185, -0.09558238089084625, -0.1566733866930008, -0.21320423483848572, 0.05054039880633354, 0.1055222675204277, 0.06021464243531227, 0.025256145745515823, 0.059895046055316925, -0.033035337924957275, 0.05620061233639717, -0.12424180656671524, -0.08967812359333038, -0.2361517697572708, -0.009102605283260345, -0.0066872104071080685, -0.16660752892494202, -0.052419263869524, 0.1423197090625763, 0.05226108059287071, 0.10068295896053314, -0.039846912026405334, 0.11217457801103592, 0.09585723280906677, -0.10190359503030777, -0.17809636890888214]",3,"[0.042442266185615474, 0.09285250644745072, 0.2532780882064242, 0.6114271391605096]",3,"[0.0, 0.126, 0.206, 0.668]",3,"[0.0009483877788233985, 0.011207181444526544, 0.007451199229749604, 0.9803932315469006]",3,"[0.004757749382406473, 0.018341783434152603, 0.1122620701789856, 0.8646383285522461]"
45,145,1,[[3]],"[-0.6717655658721924, -0.08779051899909973, -0.4308321475982666, 0.07150059938430786, 0.1806170642375946, 0.638684093952179, -0.24350079894065857, 0.5957088470458984, 0.3880695700645447, 0.4376343786716461, 0.5308358669281006, -0.2565893828868866, -0.10113205760717392, 0.6118062734603882, 0.25954195857048035, 0.11113877594470978, -0.0902271643280983, 0.039825234562158585, -0.08801261335611343, 0.02157614752650261, -0.08724160492420197, -0.15843823552131653, -0.04378015547990799, 0.1007288470864296, 0.1346234530210495, -0.0498168058693409, -0.11642929911613464, -0.1578928679227829, -0.016793224960565567, -0.16012917459011078]",3,"[0.042821867627939866, 0.06915731568979211, 0.05345287493800869, 0.8345679417442593]",1,"[0.017, 0.383, 0.318, 0.282]",2,"[0.004164570401052539, 0.43931906539839977, 0.5177014376131197, 0.03881492658742784]",1,"[0.09548123925924301, 0.4758135974407196, 0.272482693195343, 0.15622252225875854]"
